Year,Species,Average US Price (USD/t),Average Price (2005 USD/t)
1984,"TUNA, BIGEYE",3850.334386,6443.416727
1984,"TUNA, BLACKFIN",1110,1857.55102
1984,"TUNA, BLUEFIN",6862.509032,11484.19879
1984,"TUNA, BLUEFIN PACIFIC",1424.009441,2383.036208
1984,"TUNA, LITTLE TUNNY",424.0138889,709.574263
1984,"TUNA, SKIPJACK",842.5087131,1409.91254
1984,"TUNA, YELLOWFIN",1154.303772,1931.692026
1984,TUNAS,2651.150401,4436.619039
1985,"TUNA, ALBACORE",1168.977848,1898.27611
1985,"TUNA, BIGEYE",5168.873727,8393.614581
1985,"TUNA, BLACKFIN",1536.733333,2495.465743
1985,"TUNA, BLUEFIN",6861.992668,11143.0313
1985,"TUNA, BLUEFIN PACIFIC",866.3447406,1406.837201
1985,"TUNA, LITTLE TUNNY",561.1578947,911.2513357
1985,"TUNA, SKIPJACK",953.2797798,1548.009002
1985,"TUNA, YELLOWFIN",1262.750876,2050.551962
1985,TUNAS,2439.25119,3961.043631
1986,"TUNA, ALBACORE",1183.08708,1879.170066
1986,"TUNA, BIGEYE",6779.193707,10767.81084
1986,"TUNA, BLACKFIN",2522.847682,4007.194335
1986,"TUNA, BLUEFIN",6896.306461,10953.82824
1986,"TUNA, BLUEFIN PACIFIC",979.9640706,1556.537281
1986,"TUNA, LITTLE TUNNY",858.296875,1363.285782
1986,"TUNA, SKIPJACK",1418.757123,2253.499308
1986,"TUNA, YELLOWFIN",1306.098784,2074.557131
1986,TUNAS,2352.063427,3735.927185
1987,"TUNA, ALBACORE",1729.643798,2669.097054
1987,"TUNA, BIGEYE",6338.434867,9781.145601
1987,"TUNA, BLACKFIN",1435.538922,2215.249586
1987,"TUNA, BLUEFIN",12110.04461,18687.59592
1987,"TUNA, BLUEFIN PACIFIC",2500.478853,3858.609932
1987,"TUNA, LITTLE TUNNY",331.3306983,511.2924358
1987,"TUNA, SKIPJACK",1098.879491,1695.734124
1987,"TUNA, YELLOWFIN",1891.415586,2918.734928
1987,TUNAS,3085.238586,4760.980976
1988,"TUNA, ALBACORE",1910.417817,2848.850798
1988,"TUNA, BIGEYE",7630.179059,11378.26579
1988,"TUNA, BLACKFIN",2104.192496,3137.811224
1988,"TUNA, BLUEFIN",16805.45355,25060.60681
1988,"TUNA, BLUEFIN PACIFIC",2576.421105,3842.007363
1988,"TUNA, LITTLE TUNNY",263.1607795,392.4302788
1988,"TUNA, SKIPJACK",1338.523705,1996.031596
1988,"TUNA, YELLOWFIN",2192.437621,3269.404006
1988,TUNAS,2963.341508,4418.990308
1989,"TUNA, ALBACORE",1860.951302,2674.409766
1989,"TUNA, BIGEYE",7503.170194,10782.95365
1989,"TUNA, BLACKFIN",1509.702176,2169.62273
1989,"TUNA, BLUEFIN",17922.63441,25756.97089
1989,"TUNA, BLUEFIN PACIFIC",1248.138987,1793.725119
1989,"TUNA, LITTLE TUNNY",422.7064677,607.4797895
1989,"TUNA, SKIPJACK",1253.044108,1800.774366
1989,"TUNA, YELLOWFIN",2153.741364,3095.18413
1989,TUNAS,2730.890358,3924.616315
1990,"TUNA, ALBACORE",1967.749129,2724.559925
1990,"TUNA, BIGEYE",8071.206991,11175.4526
1990,"TUNA, BLACKFIN",1450.56391,2008.461464
1990,"TUNA, BLUEFIN",20148.73248,27898.08327
1990,"TUNA, BLUEFIN PACIFIC",1242.08581,1719.801153
1990,"TUNA, LITTLE TUNNY",1362.946128,1887.145239
1990,"TUNA, SKIPJACK",1933.723579,2677.447897
1990,"TUNA, YELLOWFIN",3088.688952,4276.621452
1990,TUNAS,2778.39599,3846.987534
1991,"TUNA, ALBACORE",1815.695536,2431.397778
1991,"TUNA, BIGEYE",8343.792465,11173.17197
1991,"TUNA, BLACKFIN",1110.027248,1486.437418
1991,"TUNA, BLUEFIN",17068.74556,22856.75612
1991,"TUNA, BLUEFIN PACIFIC",1426.6918,1910.482901
1991,"TUNA, LITTLE TUNNY",753.7284631,1009.317738
1991,"TUNA, SKIPJACK",1096.060476,1467.734515
1991,"TUNA, YELLOWFIN",2758.394101,3693.765369
1991,TUNAS,2264.089848,3031.842575
1992,"TUNA, ALBACORE",2311.102658,3030.955516
1992,"TUNA, BIGEYE",8464.76828,11101.33988
1992,"TUNA, BLACKFIN",1047.476708,1373.740493
1992,"TUNA, BLUEFIN",16459.96974,21586.85418
1992,"TUNA, BLUEFIN PACIFIC",1039.118756,1362.779241
1992,"TUNA, LITTLE TUNNY",1780.547576,2335.145295
1992,"TUNA, SKIPJACK",1137.577204,1491.905125
1992,"TUNA, YELLOWFIN",3242.57302,4252.556479
1992,TUNAS,2063.579387,2706.334703
1993,"TUNA, ALBACORE",1943.874501,2494.652231
1993,"TUNA, BIGEYE",7653.931976,9822.598357
1993,"TUNA, BLACKFIN",1666.636142,2138.861108
1993,"TUNA, BLUEFIN",19629.41899,25191.22189
1993,"TUNA, BLUEFIN PACIFIC",1346.525864,1728.05073
1993,"TUNA, LITTLE TUNNY",1837.04824,2357.557799
1993,"TUNA, SKIPJACK",1080.143106,1386.191037
1993,"TUNA, YELLOWFIN",3560.663975,4569.543109
1993,TUNAS,2152.812927,2762.791306
1994,"TUNA, ALBACORE",1925.074067,2421.228028
1994,"TUNA, BIGEYE",8744.643191,10998.42108
1994,"TUNA, BLACK SKIPJACK",441.15,554.8486487
1994,"TUNA, BLACKFIN",1153.34854,1450.603829
1994,"TUNA, BLUEFIN",19045.43129,23954.05602
1994,"TUNA, BLUEFIN PACIFIC",2903.599374,3651.951012
1994,"TUNA, LITTLE TUNNY",502.9500581,632.5765841
1994,"TUNA, SKIPJACK",1408.163691,1771.0931
1994,"TUNA, YELLOWFIN",2917.834004,3669.854368
1994,TUNAS,4108.842832,5167.824761
1995,"TUNA, ALBACORE",1861.378026,2287.888866
1995,"TUNA, BIGEYE",7958.928865,9782.615075
1995,"TUNA, BLACK SKIPJACK",773.306852,950.5001737
1995,"TUNA, BLACKFIN",1173.831071,1442.799367
1995,"TUNA, BLUEFIN",23245.81678,28572.29679
1995,"TUNA, BLUEFIN PACIFIC",2916.249321,3584.470355
1995,"TUNA, LITTLE TUNNY",490.7265276,603.1702014
1995,"TUNA, SKIPJACK",872.2836126,1072.156186
1995,"TUNA, YELLOWFIN",3444.086983,4233.25523
1995,TUNAS,3552.241736,4366.192253
1996,"TUNA, ALBACORE",1948.116344,2352.83977
1996,"TUNA, BIGEYE",8195.117489,9897.662636
1996,"TUNA, BLACK SKIPJACK",442.8554361,534.8591657
1996,"TUNA, BLACKFIN",1300,1570.076505
1996,"TUNA, BLUEFIN",18282.40227,22080.5925
1996,"TUNA, BLUEFIN PACIFIC",1076.471399,1300.109579
