SpecCode,Genus,Species,,,Sex,tm (y),AgeMatMin,AgeMatMax,Locality,Country,Comment
3578,Atractoscion,nobilis,Atractoscion nobilis,2358,unsexed,4,,,California Current Region,,
3270,Aulorhynchus,flavidus,Aulorhynchus flavidus,#N/A,unsexed,1,,,California Current Region,,
7327,Balistes,capriscus,Balistes capriscus,#N/A,female,1,,,"Coastal trawl surveys, Jan-Dec 1980",Ghana,
23545,Bathymaster,derjugini,Bathymaster derjugini,#N/A,female,,7,8,"Tauiskaya Guba, Sea of Okhotsk (July 1998, 2002)",Russian Fed,Age at maturity inferred from scanty growth data (see PopChar Table).
2555,Bathyraja,aleutica,Bathyraja aleutica,#N/A,female,,9,10,North Pacific,Russian Fed,
2555,Bathyraja,aleutica,Bathyraja aleutica,#N/A,male,,8,9,North Pacific,Russian Fed,
2564,Bathyraja,parmifera,Bathyraja parmifera,#N/A,female,,8,10,North Pacific,Russian Fed,
2564,Bathyraja,parmifera,Bathyraja parmifera,#N/A,male,,7,9,North Pacific,Russian Fed,
22558,Bathyraja,violacea,Bathyraja violacea,#N/A,female,,5,6,North Pacific,Russian Fed,
22558,Bathyraja,violacea,Bathyraja violacea,#N/A,male,,4,6,North Pacific,Russian Fed,
22561,Bathyraja,matsubarai,Bathyraja matsubarai,#N/A,female,,6,8,North Pacific,Russian Fed,
22561,Bathyraja,matsubarai,Bathyraja matsubarai,#N/A,male,,6,7,North Pacific,Russian Fed,
54021,Bathyraja,maculata,Bathyraja maculata,#N/A,female,,8,9,North Pacific,Russian Fed,
54021,Bathyraja,maculata,Bathyraja maculata,#N/A,male,8,,,North Pacific,Russian Fed,
3909,Benthodesmus,elongatus,Benthodesmus elongatus,#N/A,female,,5,6,Not specified.,,
3909,Benthodesmus,elongatus,Benthodesmus elongatus,#N/A,male,,5,6,Not specified.,,
21,Benthosema,glaciale,Benthosema glaciale,#N/A,unsexed,,2,3,fjords of Norway and adjacent seas,Norway,
21,Benthosema,glaciale,Benthosema glaciale,#N/A,unsexed,,2,3,Northeast Atlantic,,
6589,Benthosema,suborbitale,Benthosema suborbitale,#N/A,female,0.400000006,,,Gulf of Mexico,USA,
1320,Beryx,splendens,Beryx splendens,3040,female,5.900000095,,,seamounts,New Caledonia,
1320,Beryx,splendens,Beryx splendens,3040,male,7.5,,,seamounts,New Caledonia,
1320,Beryx,splendens,Beryx splendens,3040,mixed,5,2,6,"Kit Range, Eastern Atlantic",,
1320,Beryx,splendens,Beryx splendens,3040,unsexed,,4,5,New Zealand,New Zealand,
203,Boops,boops,Boops boops,2385,unsexed,1,,,Western Mediterranean,,
203,Boops,boops,Boops boops,2385,unsexed,2,,,Southern Mediterranean,,
