SciName,CommName,family,order
Megalobrama amblycephala,Wuchang bream,Cyprinidae,CYPRINIFORMES
Megalobrama terminalis,Black Amur bream,Cyprinidae,CYPRINIFORMES
Mylocheilus caurinus,Peamouth,Cyprinidae,CYPRINIFORMES
Lepidomeda vittata,Little Colorado spinedace,Cyprinidae,CYPRINIFORMES
Diptychus maculatus,Scaly osman,Cyprinidae,CYPRINIFORMES
Ptychobarbus conirostris,,Cyprinidae,CYPRINIFORMES
Schizopygopsis pylzovi,,Cyprinidae,CYPRINIFORMES
Tiaroga cobitis,Loach minnow,Cyprinidae,CYPRINIFORMES
Puntius binotatus,Spotted barb,Cyprinidae,CYPRINIFORMES
Puntius amphibius,,Cyprinidae,CYPRINIFORMES
Puntius arulius,Arulius barb,Cyprinidae,CYPRINIFORMES
Puntius conchonius,Rosy barb,Cyprinidae,CYPRINIFORMES
Puntius filamentosus,Blackspot barb,Cyprinidae,CYPRINIFORMES
Puntius orphoides,,Cyprinidae,CYPRINIFORMES
Puntius sophore,Pool barb,Cyprinidae,CYPRINIFORMES
Puntius tetrazona,Sumatra barb,Cyprinidae,CYPRINIFORMES
Puntius ticto,Ticto barb,Cyprinidae,CYPRINIFORMES
Puntius lateristriga,Spanner barb,Cyprinidae,CYPRINIFORMES
Capoetobrama kuschakewitschi,Sharpray,Cyprinidae,CYPRINIFORMES
Carassioides cantonensis,,Cyprinidae,CYPRINIFORMES
Cephalakompsus pachycheilus,,Cyprinidae,CYPRINIFORMES
Chanodichthys dabryi,Humpback,Cyprinidae,CYPRINIFORMES
Chanodichthys erythropterus,Predatory carp,Cyprinidae,CYPRINIFORMES
Chanodichthys mongolicus,Mongolian redfin,Cyprinidae,CYPRINIFORMES
Coptostomabarbus bellcrossi,,Cyprinidae,CYPRINIFORMES
Coreoleuciscus splendidus,,Cyprinidae,CYPRINIFORMES
Cosmochilus cardinalis,,Cyprinidae,CYPRINIFORMES
Cyprinion watsoni,,Cyprinidae,CYPRINIFORMES
Danionella translucida,,Cyprinidae,CYPRINIFORMES
Discherodontus ashmeadi,,Cyprinidae,CYPRINIFORMES
Distoechodon tumirostris,,Cyprinidae,CYPRINIFORMES
Eirmotus octozona,,Cyprinidae,CYPRINIFORMES
Elopichthys bambusa,Yellowcheek,Cyprinidae,CYPRINIFORMES
Engraulicypris sardella,Lake Malawi sardine,Cyprinidae,CYPRINIFORMES
Epalzeorhynchos bicolor,Redtail sharkminnor,Cyprinidae,CYPRINIFORMES
Epalzeorhynchos kalopterus,Flying fox,Cyprinidae,CYPRINIFORMES
Eremichthys acros,Desert dace,Cyprinidae,CYPRINIFORMES
Erimystax dissimilis,Streamline chub,Cyprinidae,CYPRINIFORMES
Esomus danricus,Flying barb,Cyprinidae,CYPRINIFORMES
Eupallasella perenurus,Lake minnow,Cyprinidae,CYPRINIFORMES
Exoglossum maxillingua,Cutlips minnow,Cyprinidae,CYPRINIFORMES
Gobiobotia brevibarba,,Cyprinidae,CYPRINIFORMES
Gymnocypris biswasi,,Cyprinidae,CYPRINIFORMES
Hemigrammocapoeta kemali,,Cyprinidae,CYPRINIFORMES
Hemigrammocypris lini,Garnet minnow,Cyprinidae,CYPRINIFORMES
Hemitremia flammea,Flame chub,Cyprinidae,CYPRINIFORMES
Henicorhynchus caudimaculatus,,Cyprinidae,CYPRINIFORMES
Henicorhynchus siamensis,Siamese mud carp,Cyprinidae,CYPRINIFORMES
Horadandia atukorali,,Cyprinidae,CYPRINIFORMES
Raiamas ansorgii,,Cyprinidae,CYPRINIFORMES
Hypselobarbus curmuca,,Cyprinidae,CYPRINIFORMES
Hypselobarbus jerdoni,Jerdon's carp,Cyprinidae,CYPRINIFORMES
Hypsibarbus lagleri,,Cyprinidae,CYPRINIFORMES
Hypsibarbus pierrei,,Cyprinidae,CYPRINIFORMES
Hypsibarbus wetmorei,,Cyprinidae,CYPRINIFORMES
Iberocypris palaciosi,,Cyprinidae,CYPRINIFORMES
Inlecypris auropurpureus,,Cyprinidae,CYPRINIFORMES
Iranocypris typhlops,Iran cave barb,Cyprinidae,CYPRINIFORMES
Kalimantania lawak,,Cyprinidae,CYPRINIFORMES
Ladigesocypris ghigii,,Cyprinidae,CYPRINIFORMES
Ladislavia taczanowskii,Tachanovsky's gudgeon,Cyprinidae,CYPRINIFORMES
Lagowskiella czekanowskii,Czekanowski's minnow,Cyprinidae,CYPRINIFORMES
Lepidopygopsis typus,,Cyprinidae,CYPRINIFORMES
Leptocypris guineensis,,Cyprinidae,CYPRINIFORMES
Leptocypris niloticus,,Cyprinidae,CYPRINIFORMES
Leucalburnus kosswigi,,Cyprinidae,CYPRINIFORMES
Leucaspius delineatus,Belica,Cyprinidae,CYPRINIFORMES
