SpecCode,Genus,Species,,,Sex,Data source,Type,Loo (cm),K (1/y),Locality,Country,LinfLmax,Comment
487,Ammodytes,personatus,Ammodytes personatus,3261,unsexed,annuli on many otoliths,FL,24.20000076,0.609000027,east coast,Korea Rep,yes,
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,annuli on many otoliths,TL,21.89999962,0.449000001,"Kiel Bight, Western Baltic; M: for North Sea (Div. IVa)",Germany,no,fall spawners
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,,TL,23.39999962,0.551999986,,Isle of Man,no,fall spawners
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,annuli on many otoliths,TL,20.5,0.600000024,Western Baltic,Germany,no,autumn spawner; growth estimated from data in Ref. 47152 (RF).
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,,TL,22.20000076,0.633000016,M: for Northern North Sea,Isle of Man,no,spring spawners
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,,TL,19.70000076,0.703999996,"Portsmouth, Southern England",UK Engld Wal,no,fall spawners
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,,TL,16.10000038,0.720000029,"Portsmouth, Southern England; M: for Northern North Sea",UK Engld Wal,no,spring spawners
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,,TL,16.60000038,0.769999981,"Langstone Harbour, Hampshire",UK Engld Wal,no,Winf from Ref. 1139; Computations of M is equivalent to construction of a catch curve in a lightly exploited stock (DP). Ref. 79880 gives M specific for different mean lengths as: 2.34 (8.0 cm); 1.39 (12.0 cm); 1.04 (14.0 cm); 0.70 (15.0).
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,annuli on many otoliths,TL,18.29999924,0.99000001,Western Baltic,Germany,no,spring spawner; growth estimated from data in Ref. 47157 (RF).
4551,Amphiprion,chrysopterus,Amphiprion chrysopterus,#N/A,unsexed,tagging/recapture,TL,11.30000019,0.811999977,"Eniwetok Atoll, Pacific",Marshall Is,no,
4654,Amphiprion,melanopus,Amphiprion melanopus,#N/A,unsexed,tagging/recapture,TL,9.100000381,0.527999997,Eniwetok Atoll,Marshall Is,no,Do not use M value for new model to predict M.
2024,Amphiprion,perideraion,Amphiprion perideraion,#N/A,unsexed,tagging/recapture,TL,9.699999809,0.479999989,"Eniwetok Atoll, Pacific",Marshall Is,no,
