Species_AFSIS
Aba
"Groupers, seabasses nei"
"Grunts, sweetlips nei"
"Gudgeons, sleepers nei"
Guinea shrimp
Guinean striped mojarra
"Guitarfishes, etc. nei"
"Gulf butterfishes, etc. nei"
Gulf kingcroaker
Gulf menhaden
Gulf parrotfish
Gulper shark
Gummy shark
"Gurnards, searobins nei"
Haddock
Haffara seabream
Hagfishes nei
Hair crab
"Hairtails, scabbardfishes nei"
Hakes nei
Half-crenated ark
Halfbeaks nei
"Hammerhead sharks, etc. nei"
Hampala barb
Hapuku wreckfish
Harbour spidercrab
Hard clams nei
"Hard corals, madrepores nei"
Hawksbill turtle
Hector's lanternfish
Helmet ton
Hickory shad
Highwaterman catfish
Hilsa shad
Hogfish
Hokkai shrimp
Honeycomb grouper
Honnibe croaker
Horned and musky octopuses
Horned octopus
Horned turban
Horse mussels nei
Horseshoe crab
Hound needlefish
Houting
Hoven's carp
Huchen
Humpback grouper
Humpback red snapper
Humped rockcod
Humphead wrasse
Humpnose big-eye bream
Humpy shrimp
Iceland scallop
Imperial blackfish
Imperial surf clam
Indian driftfish
Indian halibut
Indian mackerel
Indian mackerels nei
Indian oil sardine
Indian pellona
Indian pompano
Indian scad
Indian squid
Indian threadfin
Indian white prawn
Indo-Pacific king mackerel
Indo-Pacific sailfish
Indo-Pacific swamp crab
Indo-Pacific tarpon
Indonesian snakehead
Intermediate scabbardfish
Irish mojarra
Jack and horse mackerels nei
Jack-knife shrimp
"Jacks, crevalles nei"
Jaguar guapote
Jamaica weakfish
Japanese Spanish mackerel
Japanese anchovy
Japanese carpet shell
Japanese corbicula
Japanese eel
Japanese fan lobster
Japanese flying squid
Japanese flyingfish
Japanese halfbeak
Japanese hard clam
Japanese icefish
Japanese jack mackerel
Japanese pilchard
Japanese sandfish
Japanese sardinella
Japanese scad
Japanese sea cucumber
Japanese seabass
Japanese smelt
Japanese threadfin bream
Japanese topeshark
Javelin grunter
Jellyfishes nei
Jobfishes nei
John dory
John's snapper
Jonah crab
Jonah's icefish
Juan Fernandez rock lobster
Jumbo flying squid
Kafue pike
Kamchatka flounder
Karanteen seabream
Kawakawa
Kelp greenling
Kerguelen sandpaper skate
Kibonde
King crabs
King crabs nei
"King crabs, stone crabs nei"
King dory
King mackerel
King of herrings
King soldier bream
King weakfish
Kingcroakers nei
Kingklip
Kinneret bleak
Kissing gourami
Kitefin shark
Klunzinger's mullet
Knife shrimp
Knifefishes
Knifetooth dogfish
Knout goby
Kolibri shrimp
Korean mussel
Korean sandlance
Kuruma prawn
Kutum
Ladyfish
Lake Malawi utaka
Lake Tanganyika sardine
Lake Tanganyika sprat
Lake cisco
Lake trout(=Char)
Lake(=Common) whitefish
Lampreys nei
Lane snapper
Lantern fish
Lanternfishes nei
Lanternsharks nei
Large yellow croaker
Large-eye dentex
Largeeye breams
Largehead hairtail
Largemouth black bass
Latchet(=Sharpbeak gurnard)
Laulao catfish
Law croaker
Leafscale gulper shark
Leaping mullet
Lebranche mullet
Leerfish
Lefteye flounders nei
Lemon shark
Lemon sole
Leopard coralgrouper
Leopard flounder
Lesser African threadfin
Lesser amberjack
Ling
Lingcod
Lings nei
Little skate
Little sleeper shark
Little tunny(=Atl.black skipj)
Live sharksucker
Lizardfishes nei
Lobsters nei
Loggerhead turtle
Long pectoral-fin minnow
Long snouted lancetfish
Longbill spearfish
Longfin bonefish
Longfin codling
Longfin hake
Longfin mako
Longfin squid
Longfin yellowtail
Longlegged spiny lobster
Longnose anchovy
Longnose spurdog
Longnose velvet dogfish
Longnosed skate
Longspine burrfish
Longspine snipefish
Longtail Southern cod
Longtail stingray
Longtail tuna
Lookdown
Lowfin gulper shark
Lumpfish(=Lumpsucker)
Lusitanian cownose ray
Lusitanian toadfish
Macha clam
Machaca
Mackerel icefish
"Mackerel sharks,porbeagles nei"
Mackerels nei
Madeiran ray
Madeiran sardinella
Mako sharks
Malabar blood snapper
Malabar trevally
Malayan leaffish
Mango tilapia
