Year,BvBmsy,FvFmsy,Catch,RAM
2012,0.751205591784258,1.84932750625721,39,FALSE
2012,1.05829015185672,1.70823263494541,78,FALSE
2012,1.26282793900399,1.24897332539079,832,FALSE
2012,0.362101830891502,2.57347314073571,10,FALSE
2012,0.976154383025644,4.36707679718052,684,FALSE
2012,0.866786046661141,3.21055326485168,100,FALSE
2012,1.89396186300712,0.567945535586066,90,FALSE
2012,0.686576992064986,0.629361463447227,923,FALSE
2012,1.35572826722351,4.231767599242,41,FALSE
2012,0.779601793595862,1.81222699458626,92679,FALSE
2012,0.676921390418664,2.36232977178771,7386,FALSE
2012,0.973542323490854,0.992464252288749,2443,FALSE
2012,0.636580440688221,0.418094968537062,2,FALSE
2012,0.774780798927181,0.15953672840751,24,FALSE
2012,0.926221879673958,4.44067975244774,834,FALSE
2012,0.74240677132166,3.01500061214113,1054,FALSE
2012,0.478445265699678,7.56958831683924,1572,FALSE
2012,1.42751605839161,0.835268424213382,3301,FALSE
2012,1.3583863836175,0.920402248820202,7507,FALSE
2012,0.478424528385228,3.70884533948363,32,FALSE
2012,1.92058550837427,0.135245898543266,4043,FALSE
2012,1.65433355649287,0.489219183646629,2080,FALSE
2012,1.22234951397601,1.32037866130405,4269,FALSE
2012,2.18327462559489,0.198482516381683,2697,FALSE
2012,1.8398888957077,0.639138227721861,1565,FALSE
2012,1.38785216377759,0.684054281879702,261,FALSE
2012,1.86555038869202,0.547590142669527,54703,FALSE
2012,1.913055720036,0.301284562398399,2055,FALSE
2012,1.31119534242453,1.99209802261702,142,FALSE
2012,0.816891874608234,3.71995679457652,454,FALSE
2012,1.23326980486758,0.821105951315675,588,FALSE
2012,0.951605124907178,0.061323501578895,9,FALSE
2012,1.60377266739755,0.621242326142712,3345,FALSE
2012,0.624491401899251,2.9617475556083,53,FALSE
2012,0.447071435169462,4.41541439623882,23,FALSE
2012,1.62436621442176,0.670688550397203,766,FALSE
2012,0.309398692906228,0.470687374379671,298,FALSE
2012,0.63760742485992,1.05207954475628,185,FALSE
2012,0.962922873460619,18.5588491361387,2,FALSE
2012,1.32912841146352,0.586292791345453,2,FALSE
2012,1.29090613690136,1.15073716140618,8933,FALSE
2012,0.647012537496521,2.42628779014602,1190,FALSE
